Mutant ID,Munatnt Operator,Reference,Explanation,BugID,Bug identification,Patch
Method Parameter Modification (MPM),MPM[],PIT and Major,"The patch modifies the argument list of an existing method/function call. Therefore, it corresponds to Method Parameter Modification.",bid11,Eslint,"diff --git a/lib/rules/no-useless-escape.js b/lib/rules/no-useless-escape.js
index df448cdb..7adefb64 100644
--- a/lib/rules/no-useless-escape.js
+++ b/lib/rules/no-useless-escape.js
@@ -24,7 +24,7 @@ function union(setA, setB) {
     }());
 }
 
-const VALID_STRING_ESCAPES = new Set(""\\nrvtbfux\n\r"");
+const VALID_STRING_ESCAPES = new Set(""\\nrvtbfux\n\r\u2028\u2029"");
 const REGEX_GENERAL_ESCAPES = new Set(""\\bcdDfnrsStvwWxu0123456789"");
 const REGEX_CHARCLASS_ESCAPES = union(REGEX_GENERAL_ESCAPES, new Set(""]""));
 const REGEX_NON_CHARCLASS_ESCAPES = union(REGEX_GENERAL_ESCAPES, new Set(""^/.$*+?[{}|()B""));
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 23 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid12,Eslint,"diff --git a/lib/rules/max-len.js b/lib/rules/max-len.js
index b0fa9581..137d7913 100644
--- a/lib/rules/max-len.js
+++ b/lib/rules/max-len.js
@@ -321,21 +321,24 @@ module.exports = {
                 }
 
                 const lineLength = computeLineLength(line, tabWidth);
+                const commentLengthApplies = lineIsComment && maxCommentLength;
 
                 if (lineIsComment && ignoreComments) {
                     return;
                 }
 
-                if (lineIsComment && lineLength > maxCommentLength) {
-                    context.report({
-                        node,
-                        loc: { line: lineNumber, column: 0 },
-                        message: ""Line {{lineNumber}} exceeds the maximum comment line length of {{maxCommentLength}}."",
-                        data: {
-                            lineNumber: i + 1,
-                            maxCommentLength
-                        }
-                    });
+                if (commentLengthApplies) {
+                    if (lineLength > maxCommentLength) {
+                        context.report({
+                            node,
+                            loc: { line: lineNumber, column: 0 },
+                            message: ""Line {{lineNumber}} exceeds the maximum comment line length of {{maxCommentLength}}."",
+                            data: {
+                                lineNumber: i + 1,
+                                maxCommentLength
+                            }
+                        });
+                    }
                 } else if (lineLength > maxLength) {
                     context.report({
                         node,
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 8 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid13,Eslint,"diff --git a/lib/config.js b/lib/config.js
index c69d120e..2db87d94 100644
--- a/lib/config.js
+++ b/lib/config.js
@@ -66,13 +66,14 @@ class Config {
         this.parser = options.parser;
         this.parserOptions = options.parserOptions || {};
 
+        this.configCache = new ConfigCache();
+
         this.baseConfig = options.baseConfig
             ? ConfigOps.merge({}, ConfigFile.loadObject(options.baseConfig, this))
             : { rules: {} };
         this.baseConfig.filePath = """";
         this.baseConfig.baseDirectory = this.options.cwd;
 
-        this.configCache = new ConfigCache();
         this.configCache.setConfig(this.baseConfig.filePath, this.baseConfig);
         this.configCache.setMergedVectorConfig(this.baseConfig.filePath, this.baseConfig);
 
diff --git a/lib/config/config-file.js b/lib/config/config-file.js
index 83252995..c9b6a432 100644
--- a/lib/config/config-file.js
+++ b/lib/config/config-file.js
@@ -560,11 +560,12 @@ function loadFromDisk(resolvedPath, configContext) {
 /**
  * Loads a config object, applying extends if present.
  * @param {Object} configObject a config object to load
+ * @param {Config} configContext Context for the config instance
  * @returns {Object} the config object with extends applied if present, or the passed config if not
  * @private
  */
-function loadObject(configObject) {
-    return configObject.extends ? applyExtends(configObject, """") : configObject;
+function loadObject(configObject, configContext) {
+    return configObject.extends ? applyExtends(configObject, configContext, """") : configObject;
 }
 
 /**
"
Constant Replacement (CR),CR[],PIT and Major,"The patch modifies a literal constant such as a number, boolean, null/undefined, or similar value. Therefore, it corresponds to Constant Replacement.",bid14,Eslint,"diff --git a/lib/rules/curly.js b/lib/rules/curly.js
index ba4dac34..801552d6 100644
--- a/lib/rules/curly.js
+++ b/lib/rules/curly.js
@@ -290,7 +290,9 @@ module.exports = {
                 }
             } else if (multiOrNest) {
                 if (hasBlock && body.body.length === 1 && isOneLiner(body.body[0])) {
-                    expected = false;
+                    const leadingComments = sourceCode.getComments(body.body[0]).leading;
+
+                    expected = leadingComments.length > 0;
                 } else if (!isOneLiner(body)) {
                     expected = true;
                 }
"
Statement Deletion (SD),SD[],PIT and Major,"The patch deletes a statement. Therefore, it corresponds to Statement Deletion.",bid15,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index 79a0f25c..acc52463 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -1043,7 +1043,6 @@ module.exports = {
                 offsets.ignoreToken(operator);
                 offsets.ignoreToken(tokenAfterOperator);
                 offsets.setDesiredOffset(tokenAfterOperator, operator, 0);
-                offsets.setDesiredOffsets([tokenAfterOperator.range[1], node.range[1]], tokenAfterOperator, 1);
             },
 
             ""BlockStatement, ClassBody""(node) {
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 27 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid16,Eslint,"diff --git a/lib/rules/new-parens.js b/lib/rules/new-parens.js
index 29f4b5c2..b0fc5ba9 100644
--- a/lib/rules/new-parens.js
+++ b/lib/rules/new-parens.js
@@ -29,20 +29,6 @@ function isClosingParen(token) {
     return token.type === ""Punctuator"" && token.value === "")"";
 }
 
-/**
- * Checks whether the given node is inside of another given node.
- *
- * @param {ASTNode|Token} inner - The inner node to check.
- * @param {ASTNode|Token} outer - The outer node to check.
- * @returns {boolean} `true` if the `inner` is in `outer`.
- */
-function isInRange(inner, outer) {
-    const ir = inner.range;
-    const or = outer.range;
-
-    return or[0] <= ir[0] && ir[1] <= or[1];
-}
-
 //------------------------------------------------------------------------------
 // Rule Definition
 //------------------------------------------------------------------------------
@@ -65,14 +51,15 @@ module.exports = {
 
         return {
             NewExpression(node) {
-                let token = sourceCode.getTokenAfter(node.callee);
-
-                // Skip ')'
-                while (token && isClosingParen(token)) {
-                    token = sourceCode.getTokenAfter(token);
+                if (node.arguments.length !== 0) {
+                    return;  // shortcut: if there are arguments, there have to be parens
                 }
 
-                if (!(token && isOpeningParen(token) && isInRange(token, node))) {
+                const lastToken = sourceCode.getLastToken(node);
+                const hasLastParen = lastToken && isClosingParen(lastToken);
+                const hasParens = hasLastParen && isOpeningParen(sourceCode.getTokenBefore(lastToken));
+
+                if (!hasParens) {
                     context.report({
                         node,
                         message: ""Missing '()' invoking a constructor."",
"
Bitwise Operator Replacement (BWO),BWO[],PIT and Major,Bitwise operator changed,bid17,Eslint,"diff --git a/lib/rules/max-statements-per-line.js b/lib/rules/max-statements-per-line.js
index 63e4d67f..55f09746 100644
--- a/lib/rules/max-statements-per-line.js
+++ b/lib/rules/max-statements-per-line.js
@@ -43,7 +43,7 @@ module.exports = {
         // Helpers
         //--------------------------------------------------------------------------
 
-        var SINGLE_CHILD_ALLOWED = /^(?:DoWhile|For|ForIn|ForOf|If|Labeled|While)Statement$/;
+        var SINGLE_CHILD_ALLOWED = /^(?:(?:DoWhile|For|ForIn|ForOf|If|Labeled|While)Statement|Export(?:Default|Named)Declaration)$/;
 
         /**
          * Gets the actual last token of a given node.
"
Logical Operator Replacement (LOR),LOR[],PIT and Major,"The patch modifies a logical operator such as && or ||. Therefore, it corresponds to Logical Operator Replacement.",bid18,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index bc0577a0..1238ee4d 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -450,7 +450,8 @@ module.exports = function(context) {
                         parent.type === ""ObjectExpression"" ||
                         parent.type === ""ArrayExpression"" ||
                         parent.type === ""CallExpression"" ||
-                        parent.type === ""ArrowFunctionExpression""
+                        parent.type === ""ArrowFunctionExpression"" ||
+                        parent.type === ""NewExpression""
                     ) {
                         nodeIndent = nodeIndent + indentSize;
                     }
"
"Arithmetic Operator Replacement (AOR), Constant replacement,","AOR[],CR[]",PIT and Major,"The patch modifies an arithmetic operator. Therefore, it corresponds to Arithmetic Operator Replacement.",bid19,Eslint,"diff --git a/lib/rules/no-regex-spaces.js b/lib/rules/no-regex-spaces.js
index 05ac86e8..09b689e8 100644
--- a/lib/rules/no-regex-spaces.js
+++ b/lib/rules/no-regex-spaces.js
@@ -37,11 +37,11 @@ module.exports = {
          * @private
          */
         function checkRegex(node, value, valueStart) {
-            const multipleSpacesRegex = /( {2,})+?/,
+            const multipleSpacesRegex = /( {2,})( [+*{?]|[^+*{?]|$)/,
                 regexResults = multipleSpacesRegex.exec(value);
 
             if (regexResults !== null) {
-                const count = regexResults[0].length;
+                const count = regexResults[1].length;
 
                 context.report({
                     node,
"
Condition Insertion (CI),CI[],PIT and Major,"The patch inserts a condition or conditional guard. Therefore, it corresponds to Condition Insertion.",bid20,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index 308306af..79a0f25c 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -442,6 +442,7 @@ class OffsetStorage {
                 const offset = (
                     offsetInfo.from &&
                     offsetInfo.from.loc.start.line === token.loc.start.line &&
+                    !/^\s*?\n/.test(token.value) &&
                     !offsetInfo.force
                 ) ? 0 : offsetInfo.offset * this._indentSize;
 
@@ -836,7 +837,7 @@ module.exports = {
                     const previousElement = elements[index - 1];
                     const firstTokenOfPreviousElement = previousElement && getFirstToken(previousElement);
 
-                    if (previousElement && sourceCode.getLastToken(previousElement).loc.start.line > startToken.loc.end.line) {
+                    if (previousElement && sourceCode.getLastToken(previousElement).loc.end.line > startToken.loc.end.line) {
                         offsets.setDesiredOffsets(element.range, firstTokenOfPreviousElement, 0);
                     }
                 }
"
"Condition insertion, Modification of condition stement","CI[],MOCS[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 12 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid21,Eslint,"diff --git a/lib/rules/func-name-matching.js b/lib/rules/func-name-matching.js
index e33efb7a..db06d5d4 100644
--- a/lib/rules/func-name-matching.js
+++ b/lib/rules/func-name-matching.js
@@ -148,7 +148,7 @@ module.exports = {
         return {
 
             VariableDeclarator(node) {
-                if (!node.init || node.init.type !== ""FunctionExpression"") {
+                if (!node.init || node.init.type !== ""FunctionExpression"" || node.id.type !== ""Identifier"") {
                     return;
                 }
                 if (node.init.id && shouldWarn(node.id.name, node.init.id.name)) {
@@ -157,10 +157,12 @@ module.exports = {
             },
 
             AssignmentExpression(node) {
-                if (node.right.type !== ""FunctionExpression"" ||
-                   (node.left.computed && node.left.property.type !== ""Literal"") ||
-                    (!includeModuleExports && isModuleExports(node.left))
-                   ) {
+                if (
+                    node.right.type !== ""FunctionExpression"" ||
+                    (node.left.computed && node.left.property.type !== ""Literal"") ||
+                    (!includeModuleExports && isModuleExports(node.left)) ||
+                    (node.left.type !== ""Identifier"" && node.left.type !== ""MemberExpression"")
+                ) {
                     return;
                 }
 
"
"Method call replacement, Modification of condition stement","MCR[],MOCS[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 9 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid22,Eslint,"diff --git a/lib/rules/no-invalid-this.js b/lib/rules/no-invalid-this.js
index d1629c6f..37c67de0 100644
--- a/lib/rules/no-invalid-this.js
+++ b/lib/rules/no-invalid-this.js
@@ -315,10 +315,17 @@ module.exports = function(context) {
         // `this` is invalid only under strict mode.
         // Modules is always strict mode.
         ""Program"": function(node) {
+            var scope = context.getScope();
+            var features = context.ecmaFeatures;
+
             stack.push({
                 init: true,
                 node: node,
-                valid: !(context.ecmaFeatures.modules || context.getScope().isStrict)
+                valid: !(
+                    scope.isStrict ||
+                    features.modules ||
+                    (features.globalReturn && scope.childScopes[0].isStrict)
+                )
             });
         },
         ""Program:exit"": function() {
"
"Condition insertion,Method call replacement","CI[],MCR[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 8 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid23,Eslint,"diff --git a/lib/rules/sort-vars.js b/lib/rules/sort-vars.js
index 6bee2210..1fdfc9ac 100644
--- a/lib/rules/sort-vars.js
+++ b/lib/rules/sort-vars.js
@@ -37,11 +37,9 @@ module.exports = {
 
         return {
             VariableDeclaration(node) {
-                node.declarations.reduce((memo, decl) => {
-                    if (decl.id.type === ""ObjectPattern"" || decl.id.type === ""ArrayPattern"") {
-                        return memo;
-                    }
+                const idDeclarations = node.declarations.filter(decl => decl.id.type === ""Identifier"");
 
+                idDeclarations.slice(1).reduce((memo, decl) => {
                     let lastVariableName = memo.id.name,
                         currenVariableName = decl.id.name;
 
@@ -56,7 +54,7 @@ module.exports = {
                     }
                     return decl;
 
-                }, node.declarations[0]);
+                }, idDeclarations[0]);
             }
         };
     }
"
Arithmetic Operator Replacement (AOR),AOR[],PIT and Major,"The patch modifies an arithmetic operator. Therefore, it corresponds to Arithmetic Operator Replacement.",bid24,Eslint,"diff --git a/lib/rules/semi.js b/lib/rules/semi.js
index 7fc80ab8..2f28f161 100644
--- a/lib/rules/semi.js
+++ b/lib/rules/semi.js
@@ -53,7 +53,7 @@ module.exports = {
 
     create(context) {
 
-        const OPT_OUT_PATTERN = /[\[\(\/\+\-]/; // One of [(/+-
+        const OPT_OUT_PATTERN = /^[-[(\/+]$/; // One of [(/+-, but not ++ or --
         const options = context.options[1];
         const never = context.options[0] === ""never"",
             exceptOneLine = options && options.omitLastInOneLineBlock === true,
"
"Method call replacement , Modification of condition statement","MCR[],MOCS[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 13 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid25,Eslint,"diff --git a/lib/config/config-validator.js b/lib/config/config-validator.js
index 5f0072d5..5b9d782e 100644
--- a/lib/config/config-validator.js
+++ b/lib/config/config-validator.js
@@ -13,7 +13,8 @@
 
 var rules = require(""../rules""),
     Environments = require(""./environments""),
-    schemaValidator = require(""is-my-json-valid"");
+    schemaValidator = require(""is-my-json-valid""),
+    util = require(""util"");
 
 var validators = {
     rules: Object.create(null)
@@ -83,7 +84,10 @@ function validateRuleOptions(id, options, source) {
         localOptions = [];
     }
 
-    validSeverity = (severity === 0 || severity === 1 || severity === 2 || /^(?:off|warn|error)$/i.test(severity));
+    validSeverity = (
+        severity === 0 || severity === 1 || severity === 2 ||
+        (typeof severity === ""string"" && /^(?:off|warn|error)$/i.test(severity))
+    );
 
     if (validateRule) {
         validateRule(localOptions);
@@ -97,7 +101,10 @@ function validateRuleOptions(id, options, source) {
 
         if (!validSeverity) {
             message.push(
-                ""\tSeverity should be one of the following: 0 = off, 1 = warning, 2 = error (you passed \"""", severity, ""\"").\n"");
+                ""\tSeverity should be one of the following: 0 = off, 1 = warning, 2 = error (you passed '"",
+                util.inspect(severity).replace(/'/g, ""\"""").replace(/\n/g, """"),
+                ""').\n""
+            );
         }
 
         if (validateRule && validateRule.errors) {
"
Modification of Return Value (MRV),MRV[],PIT and Major,"The patch replaces or removes a method/function call. Therefore, it corresponds to Method Call Replacement / Removal.",bid26,Eslint,"diff --git a/lib/util/glob-util.js b/lib/util/glob-util.js
index d414f783..4c21fc55 100644
--- a/lib/util/glob-util.js
+++ b/lib/util/glob-util.js
@@ -86,7 +86,7 @@ function resolveFileGlobPatterns(patterns, options) {
 
     const processPathExtensions = processPath(options);
 
-    return patterns.map(processPathExtensions);
+    return patterns.filter(p => p.length).map(processPathExtensions);
 }
 
 /**
"
