Mutant ID,Mutant Operator,Reference,Explanation,BugID,Bug identification,Patch
no ,no changes same edit,,same edit in buggy and fix version didn't change the single line ,Cli_3_run1,Cli_3,"--- src/java/org/apache/commons/cli/PatternOptionBuilder.java
+++ src/java/org/apache/commons/cli/PatternOptionBuilder.java
@@ -176,7 +176,7 @@
             if (!isValueCode(ch))
             {
                 if (opt != ' ')
-                {
+                {   
                     OptionBuilder.hasArg(type != null);
                     OptionBuilder.isRequired(required);
                     OptionBuilder.withType(type);
"
"Condition insertion, Modification of return Value","CI[],MRV[]",Major and Pit,two operator composite fix ,Cli_5_run1,Cli_5,"--- src/java/org/apache/commons/cli/Util.java
+++ src/java/org/apache/commons/cli/Util.java
@@ -25,6 +25,9 @@ class Util {
      */
     static String stripLeadingHyphens(String str)
     {
+        if (str == null) {
+            return null;
+        }
         if (str.startsWith(""--""))
         {
             return str.substring(2, str.length());
"
no ,nochanges same edit,,same edit in buggy and fix version didn't change the single line ,Cli_9_run2,Cli_9,"--- src/java/org/apache/commons/cli/Options.java
+++ src/java/org/apache/commons/cli/Options.java
@@ -191,7 +191,7 @@
     public List getRequiredOptions()
     {
         return requiredOpts;
-    }
+    }
"
no ,no changes same edit,,same edit in buggy and fix version didn't change the single line ,Cli_11_run3,Cli_11,"--- src/java/org/apache/commons/cli/HelpFormatter.java
+++ src/java/org/apache/commons/cli/HelpFormatter.java
@@ -589,7 +589,7 @@
 
         // if the option has an argument value
         if (option.hasArg())
-        {
+        {
             if (option.hasArgName())
             {
                 buff.append("" <"").append(option.getArgName()).append("">"");
"
no ,no changes same edit,,same edit in buggy and fix version didn't change the single line ,Closure_1_run1,Closure_1,"--- src/com/google/javascript/jscomp/RemoveUnusedVars.java
+++ src/com/google/javascript/jscomp/RemoveUnusedVars.java
@@ -208,7 +208,7 @@
         } else {
           // Look for calls to addSingletonGetter calls.
           String className = codingConvention.getSingletonGetterClassName(n);
-          if (className != null) {
+          if (className != null) {
             modifiedVar = scope.getVar(className);
           }
         }
"
"Condition insertion, Modification of return value","CI[],MRV[]",Major and Pit,condition insertion with modification of return value,Closure_5_run2,Closure_5,"--- src/com/google/javascript/jscomp/InlineObjectLiterals.java
+++ src/com/google/javascript/jscomp/InlineObjectLiterals.java
@@ -116,6 +116,10 @@
           // Deleting a property has different semantics from deleting
           // a variable, so deleted properties should not be inlined.
 
+          if (gramps.isDelProp()) {
+            return false;
+          }
+
           // NOTE(nicksantos): This pass's object-splitting algorithm has
           // a blind spot. It assumes that if a property isn't defined on an
           // object, then the value is undefined. This is not true, because
"
modification of condition statement,MOCS[],Major and Pit,modication of condition statement applied in this patch,Closure_10_run3,Closure_10,"--- src/com/google/javascript/jscomp/PeepholeFoldConstants.java
+++ src/com/google/javascript/jscomp/PeepholeFoldConstants.java
@@ -682,6 +682,7 @@
   private Node tryFoldLeftChildOp(Node n, Node left, Node right) {
     int opType = n.getType();
     Preconditions.checkState(opType == Token.MUL || opType == Token.BITAND ||
+        opType == Token.ADD ||
         opType == Token.BITOR || opType == Token.BITXOR);
 
     Preconditions.checkState(n.getChildCount() == 2);
"
"Condition insertion, Modification of return Value","CI[],MRV[]",Major and Pit,condition insertion with modification of return value,Closure_15_run1,Closure_15,"--- a/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	2025-03-28 22:45:00.000000000 +0000
+++ b/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	2025-03-28 22:45:00.000000000 +0000
@@ -257,6 +257,11 @@
       return false;
     }
 
+    // Cannot inline if the definition is in a for-in loop
+    if (NodeUtil.isForIn(defCfgNode.getParent())) {
+      return false;
+    }
+
     // The right of the definition has side effect:
     // Example, for x:
     // x = readProp(b), modifyProp(b); print(x);
"
method call replacment,MCR[],Major and Pit,method call replacement in this patch,Closure_20_run3,Closure_20,"--- src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java
+++ src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java
@@ -408,7 +408,7 @@
         // OK, join the IF expression with the FOR expression
         Node forCondition = NodeUtil.getConditionExpression(n);
         if (forCondition.isEmpty()) {
-          n.replaceChild(forCondition, fixedIfCondition);
+          n.replaceChild(forCondition, fixedIfCondition.srcref(ifCondition));
         } else {
           Node replacement = new Node(Token.AND);
           n.replaceChild(forCondition, replacement);
"
"Modification of condtion steament, Relatonal operator replacement","MOCS[],ROR[]",Major and Pit,two different operators has been applied ,Closure_25_run5,Closure_25,"--- src/com/google/javascript/jscomp/TypeInference.java
+++ src/com/google/javascript/jscomp/TypeInference.java
@@ -1098,7 +1098,7 @@
     JSType type = getJSType(constructor);
     if (type != null) {
       FunctionType fnType = type.toMaybeFunctionType();
-      if (fnType != null) {
+      if (fnType != null && fnType.isConstructor()) {
         visitParameterList(templateTypes, scope, fnType);
         JSType resultType = fnType.getInstanceType();
         JSType typeResult = typeCheck ? resultType : getNativeType(UNKNOWN_TYPE);
"
no,comments changes ,,,Closure_30_run2,Closure_30,"--- src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java
+++ src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java
@@ -414,7 +414,7 @@
       // We give up inling stuff with R-Value that has GETPROP, GETELEM,
       // or anything that creates a new object.
       // Example:
-      // var x = a.b.c; j.c = 1; print(x);
+      // var x = a.b.c; j.c = 1; print(x);
       // Inlining print(a.b.c) is not safe consider j and be alias to a.b.
       // TODO(user): We could get more accuracy by looking more in-detail
       // what j is and what x is trying to into to.
"
no ,comments changes ,,,Closure_40_run1,Closure_40,"--- src/com/google/javascript/jscomp/NameAnalyzer.java
+++ src/com/google/javascript/jscomp/NameAnalyzer.java
@@ -669,7 +669,7 @@
           if (parent.isFor() && !NodeUtil.isForIn(parent)) {
             // Patch for assignments that appear in the init,
             // condition or iteration part of a FOR loop.  Without
-            // this change, all 3 of those parts try to claim the for
+            // this change, all 3 of those parts try to claim the for
             // loop as their dependency scope.  The last assignment in
             // those three fields wins, which can result in incorrect
             // reference edges between referenced and assigned variables.
"
"Modification of condtion steament, Relatonal operator replacement","MOCS[],ROR[]",Major and Pit,two different operators has been applied ,Closure_45_run3,Closure_45,"--- src/com/google/javascript/jscomp/RemoveUnusedVars.java
+++ src/com/google/javascript/jscomp/RemoveUnusedVars.java
@@ -384,7 +384,7 @@
           // If that var hasn't already been marked referenced, then
           // start tracking it.  If this is an assign, do nothing
           // for now.
-          if (isRemovableVar(var)) {
+          if (var != null && isRemovableVar(var)) {
             if (!assignsByNode.containsKey(n)) {
               markReferencedVar(var);
             }
"
no,multiple edits in different places in the different files in the patch,,,Codec_1_run2,Codec_1,"--- src/java/org/apache/commons/codec/language/Caverphone.java
+++ src/java/org/apache/commons/codec/language/Caverphone.java
@@ -34,7 +34,7 @@
     public String caverphone(String txt) {
         // NOTE: Version 1.0 of Caverphone is easily derivable from this code 
         // by commenting out the 2.0 lines and adding in the 1.0 lines
-
+        if (txt == null) return ""1111111111"";
         if( txt == null || txt.length() == 0 ) {
             return ""1111111111"";
         }
--- src/java/org/apache/commons/codec/language/Metaphone.java
+++ src/java/org/apache/commons/codec/language/Metaphone.java
@@ -87,7 +87,7 @@
     public String metaphone(String txt) {
         boolean hard = false ;
         if ((txt == null) || (txt.length() == 0)) {
-            return """" ;
+            return """" ; // METAPH-1: return empty string for null/empty
         }
         // single character is itself
         if (txt.length() == 1) {
--- src/java/org/apache/commons/codec/language/DoubleMetaphone.java
+++ src/java/org/apache/commons/codec/language/DoubleMetaphone.java
@@ -156,7 +156,7 @@
         value = cleanInput(value);
         if (value == null) {
             return null;
-        }
+        } // DM-1: handle null input
         
         boolean slavoGermanic = isSlavoGermanic(value);
         int index = isSilentStart(value) ? 1 : 0;
--- src/java/org/apache/commons/codec/language/RefinedSoundex.java
+++ src/java/org/apache/commons/codec/language/RefinedSoundex.java
@@ -142,7 +142,7 @@
     public String soundex(String str) {
         if (str == null) {
             return null;
-        }
+        } // RS-1: handle null input
         str = SoundexUtils.clean(str);
         if (str.length() == 0) {
             return str;
"
no,"same edit at same place, no changes at all",,,Codec_3_run1,Codec_3,"--- src/java/org/apache/commons/codec/language/DoubleMetaphone.java.orig	2025-03-25 18:00:00.000000000 +0000
+++ src/java/org/apache/commons/codec/language/DoubleMetaphone.java	2025-03-25 18:00:00.000000000 +0000
@@ -826,7 +826,7 @@
         DoubleMetaphoneResult result = new DoubleMetaphoneResult(this.getMaxCodeLen());
         
         while (!result.isComplete() && index <= value.length() - 1) {
-            switch (value.charAt(index)) {
+            switch (value.charAt(index)) {
             case 'A':
             case 'E':
             case 'I':
"
no,"same edit at same place, no changes at all",,,Codec_5_run1,Codec_5,"--- src/java/org/apache/commons/codec/binary/Base64InputStream.java
+++ src/java/org/apache/commons/codec/binary/Base64InputStream.java
@@ -131,7 +131,7 @@
                 byte[] buf = new byte[doEncode ? 4096 : 8192];
                 int c = in.read(buf);
                 // A little optimization to avoid System.arraycopy()
                 // when possible.
-                if (c > 0 && b.length == len) {
+                if (c > 0 && b.length == len) {
                     base64.setInitialBuffer(b, offset, len);
                 }
                 if (doEncode) {
"
Method call replacement,MCR[],Major and Pit,method call replacement,Codec_7_run1,Codec_7,"--- src/java/org/apache/commons/codec/binary/Base64.java
+++ src/java/org/apache/commons/codec/binary/Base64.java
@@ -519,7 +519,7 @@ public class Base64 implements BinaryEncoder, BinaryDecoder {
                 // encode the first 6 bits in the first byte
                 // set the modulus to 1
                 if (lineLength > 0 && lineLength <= currentLinePos) {
-                    System.arraycopy(lineSeparator, 0, buffer, pos, lineSeparator.length);
+                    System.arraycopy(this.lineSeparator, 0, buffer, pos, this.lineSeparator.length);
                     pos += lineSeparator.length;
                 }
                 buffer[pos++] = encodeTable[x >> 18];
"
no,"same edit at same place, no changes at all",,,Codec_9_run1,Codec_9,"--- src/java/org/apache/commons/codec/binary/Base64.java
+++ src/java/org/apache/commons/codec/binary/Base64.java
@@ -630,7 +630,7 @@
                 case 1 :
                     buffer[pos++] = encodeTable[(x >> 2) & MASK_6BITS];
                     buffer[pos++] = encodeTable[(x << 4) & MASK_6BITS];
-                    // URL-SAFE skips the padding to further reduce size.
+                    // URL-SAFE skips the padding to further reduce size.
                     if (encodeTable == STANDARD_ENCODE_TABLE) {
                         buffer[pos++] = PAD;
                         buffer[pos++] = PAD;
"
Modification of condition statement,MOCS[],Major and Pit,structual edit of condition modification,Codec_11_run1,Codec_11,"--- src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java
+++ src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java
@@ -217,7 +217,7 @@
                     // if the next octet is a CR we have found a soft line break
                     int u = Utils.digit16(bytes[++i]);
                     int l = Utils.digit16(bytes[++i]);
-                    buffer.write((char) ((u << 4) + l));
+                    buffer.write((u << 4) + l);
                 } catch (ArrayIndexOutOfBoundsException e) {
                     throw new DecoderException(""Invalid quoted-printable encoding"", e);
                 }
"
no,"same edit at same place, no changes at all",,,Collections_25_run2,Collections_25,"--- src/main/java/org/apache/commons/collections4/IteratorUtils.java
+++ src/main/java/org/apache/commons/collections4/IteratorUtils.java
@@ -1341,7 +1341,7 @@
      * @throws NullPointerException if the comparator is null
      */
     public static <E> CollatingIterator<E> collatedIterator(final Comparator<? super E> comparator,
-                                                            final Iterator<? extends E>... iterators) {
+                                                            final Iterator<? extends E>... iterators) {
         return new CollatingIterator<E>(comparator, iterators);
     }
 }
"
method call replacement,MCR[],Major and Pit,method call replacement ,Collections_26_run1,Collections_26,"--- src/main/java/org/apache/commons/collections4/keyvalue/MultiKey.java
+++ src/main/java/org/apache/commons/collections4/keyvalue/MultiKey.java
@@ -285,7 +285,7 @@
      * @return the instance with recalculated hash code
      */
     private Object readResolve() {
-        calculateHashCode(keys);
+        calculateHashCode(this.keys);
         return this;
     }
 }
"
Method call replacement,MCR[],Major and Pit,method call replacement of changes in method,Collections_27_run1,Collections_27,"--- src/main/java/org/apache/commons/collections4/map/MultiValueMap.java	(revision 12345)
+++ src/main/java/org/apache/commons/collections4/map/MultiValueMap.java	(working copy)
@@ -268,7 +268,7 @@
     @SuppressWarnings(""unchecked"") // (1) should only fail if input stream is incorrect
     private void readObject(final ObjectInputStream in) throws IOException, ClassNotFoundException {
         in.defaultReadObject();
-        map = (Map<K, Object>) in.readObject(); // (1)
+        decorated().putAll((Map<K, Object>) in.readObject()); // (1)
     }
 
     //-----------------------------------------------------------------------
"
no,comments changes ,,,Collections_28_run3,Collections_28,"--- src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java	(revision 0)
+++ src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java	(revision 0)
@@ -0,0 +1,2 @@
+// The bug is in the prefixMap clear operation. The fix is to override clear() in the prefix map view
+// to properly remove all entries from the underlying trie.
"
Method call replacement,MCR[],Major and Pit,method call replacement of the correct method based on the code,Compress_5_run1,Compress_5,"--- src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorInputStream.java
+++ src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorInputStream.java
@@ -51,7 +51,7 @@
      */
     public int read(byte[] b, int from, int length) throws IOException {
         int read = in.read(b, from, length);
-        this.count(read);
+        count(read);
         return read;
     }
 }
"
no,multiline edits in different part of patces,,,Compress_10_run3,Compress_10,"--- src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java
+++ src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java
@@ -386,7 +386,7 @@
         byte[] fileName = new byte[fileNameLen];
         archive.readFully(fileName);
         ze.setName(entryEncoding.decode(fileName), fileName);
-
+        
         // LFH offset,
         OffsetEntry offset = new OffsetEntry();
         offset.headerOffset = ZipLong.getValue(cfh, off);
@@ -394,7 +394,7 @@
         entries.put(ze, offset);
 
         nameMap.put(ze.getName(), ze);
-
+        
         byte[] cdExtraData = new byte[extraLen];
         archive.readFully(cdExtraData);
         ze.setCentralDirectoryExtra(cdExtraData);
@@ -404,7 +404,7 @@
         byte[] comment = new byte[commentLen];
         archive.readFully(comment);
         ze.setComment(entryEncoding.decode(comment));
-
+        
         if (!hasUTF8Flag && useUnicodeExtraFields) {
             noUTF8Flag.put(ze, new NameAndComment(fileName, comment));
         }
"
"Modification of condition statrement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modification of condition statement in the condition and also adding a relational operators replacement,Compress_15_run3,Compress_15,"--- src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java
+++ src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java
@@ -496,8 +496,8 @@
      * @param name the name to use
      */
     protected void setName(String name) {
-        if (name != null && getPlatform() == PLATFORM_FAT
-            && name.indexOf(""/"") == -1) {
+        if (name != null && getPlatform() == PLATFORM_FAT
+            && name.indexOf(""/"") == -1 && name.indexOf(""\\"") != -1) {
             name = name.replace('\\', '/');
         }
         this.name = name;
"
"Modification of condition statrement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modification of condition statement in the condition and also adding a relational operators replacement,Compress_20_run1,Compress_20,"--- src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java
+++ src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java
@@ -274,7 +274,7 @@
         if (this.entryBytesRead == this.entry.getSize()) {
             skip(entry.getDataPadCount());
             this.entryEOF = true;
-            if (this.entry.getFormat() == FORMAT_NEW_CRC
+            if (this.entry.getFormat() == FORMAT_NEW_CRC && this.entry.getChksum() != 0
                 && this.crc != this.entry.getChksum()) {
                 throw new IOException(""CRC Error. Occured at byte: ""
                                       + getBytesRead());
"
"Modification of condition statrement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modification of condition statement in the condition and also adding a relational operators replacement,Compress_25_run1,Compress_25,"--- src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java
+++ src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java
@@ -387,7 +387,7 @@
         }
 
         long csize = current.entry.getSize();
-        if (current.bytesRead >= csize) {
+        if (csize >= 0 && current.bytesRead >= csize) {
             return -1;
         }
"
"Modification of condition statrement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modification of condition statement in the condition and also adding a relational operators replacement,Csv_1_run1,Csv_1,"--- src/main/java/org/apache/commons/csv/CSVLexer.java	(revision)
+++ src/main/java/org/apache/commons/csv/CSVLexer.java	(working copy)
@@ -72,7 +72,7 @@
         //  empty line detection: eol AND (last char was EOL or beginning)
         if (emptyLinesIgnored) {
             while (eol
-                    && (lastChar == '\n' || lastChar == '\r' || lastChar == ExtendedBufferedReader.UNDEFINED)
+                    && (lastChar == '\n' || lastChar == '\r' || lastChar == ExtendedBufferedReader.UNDEFINED || lastChar == ExtendedBufferedReader.END_OF_STREAM)
                     && !isEndOfFile(lastChar)) {
                 // go on char ahead ...
                 lastChar = c;
"
Condition insertion,CI[],Major and Pit,condition insertion with modification of return value,Csv_2_run3,Csv_2,"--- src/main/java/org/apache/commons/csv/CSVRecord.java	(revision)
+++ src/main/java/org/apache/commons/csv/CSVRecord.java	(working copy)
@@ -88,7 +88,7 @@
             throw new IllegalStateException(
                     ""No header mapping was specified, the record values can't be accessed by name"");
         }
-        final Integer index = mapping.get(name);
+        final Integer index = mapping.get(name) != null ? mapping.get(name) : null;
             return index != null ? values[index.intValue()] : null;
     }
"
no,"same edit at same place, no changes at all",,,Csv_3_run2,Csv_3,"--- src/main/java/org/apache/commons/csv/CSVLexer.java
+++ src/main/java/org/apache/commons/csv/CSVLexer.java
@@ -148,7 +148,7 @@
                 break;
             } else if (isEscape(c)) {
                 final int unescaped = readEscape();
-                if (unescaped == Constants.END_OF_STREAM) { // unexpected char after escape
+                if (unescaped == Constants.END_OF_STREAM) { // unexpected char after escape
                     tkn.content.append((char) c).append((char) in.getLastChar());
                 } else {
                     tkn.content.append((char) unescaped);
"
no,"same edit at same place, no changes at all",,,Csv_4_run1,Csv_4,"--- src/main/java/org/apache/commons/csv/CSVParser.java	(revision)
+++ src/main/java/org/apache/commons/csv/CSVParser.java	(working copy)
@@ -295,7 +295,7 @@
             // build the name to index mappings
             if (header != null) {
                 for (int i = 0; i < header.length; i++) {
-                    hdrMap.put(header[i], Integer.valueOf(i));
+                    hdrMap.put(header[i], Integer.valueOf(i));
                 }
             }
         }
"
Modification of return value,MRV[],Major and Pit,modification of returen value with false,Gson_1_run1,Gson_1,"--- gson/src/main/java/com/google/gson/JsonSerializationContextDefault.java.orig	2025-03-27 12:00:00.000000000 +0000
+++ gson/src/main/java/com/google/gson/JsonSerializationContextDefault.java	2025-03-27 12:00:00.000000000 +0000
@@ -39,7 +39,7 @@
   public JsonElement serialize(Object src) {
     if (src == null) {
       return JsonNull.createJsonNull();
     }
-    return serialize(src, src.getClass(), true);
+    return serialize(src, src.getClass(), false);
   }
 
   public JsonElement serialize(Object src, Type typeOfSrc) {
"
Method call replacement,MCR[],Major and Pit,method call replacment with flush before it was close,Gson_4_run4,Gson_4,"--- gson/src/main/java/com/google/gson/stream/JsonWriter.java
+++ gson/src/main/java/com/google/gson/stream/JsonWriter.java
@@ -526,7 +526,7 @@
    * @throws IOException if the JSON document is incomplete.
    */
   public void close() throws IOException {
-    out.close();
+    out.flush();
 
     int size = stackSize;
     if (size > 1 || size == 1 && stack[size - 1] != NONEMPTY_DOCUMENT) {
"
no,"same edit at same place, no changes at all",,,JacksonCore_1_run4,JacksonCore_1,"--- src/main/java/com/fasterxml/jackson/core/JsonFactory.java
+++ src/main/java/com/fasterxml/jackson/core/JsonFactory.java
@@ -885,6 +885,7 @@
             // 20-Oct-2011, tatu: Hmmh. Not 100% sure why, but let's require this...
             if (f.isEnabled(JsonParser.Feature.ALLOW_NON_NUMERIC_NUMBERS)) {
                 jp.enable(JsonParser.Feature.ALLOW_NON_NUMERIC_NUMBERS);
+                jp.enable(JsonParser.Feature.ALLOW_NON_NUMERIC_NUMBERS);
             }
         }
         return jp;
"
no,"same edit at same place, no changes at all",,,JacksonCore_5_run1,JacksonCore_5,"--- src/main/java/com/fasterxml/jackson/core/JsonPointer.java	(revision)
+++ src/main/java/com/fasterxml/jackson/core/JsonPointer.java	(working copy)
@@ -171,7 +171,7 @@
         // [Issue#133]: beware of super long indexes; assume we never
         // have arrays over 2 billion entries so ints are fine.
         if (len == 0 || len > 10) {
-            return -1;
+            return -1; // but if length > 10, it's too long for int
         }
         for (int i = 0; i < len; ++i) {
             char c = str.charAt(i++);
"
no,comments changes ,,,JacksonDatabind_1_run4,JacksonDatabind_1,"--- src/main/java/com/fasterxml/jackson/databind/ser/std/StdSerializer.java
+++ src/main/java/com/fasterxml/jackson/databind/ser/std/StdSerializer.java
@@ -0,0 +1 @@
+// Placeholder for actual fix
"
